,qn,fal,run,q1,q2,h,h_value
321,2.0,1.0,1.0,1.0,4.0,h_bd,0.4364541003602593
322,2.0,1.0,2.0,1.0,4.0,h_bd,1.0319158037222305
323,2.0,1.0,3.0,1.0,4.0,h_bd,-0.9576625384376654
324,2.0,1.0,4.0,1.0,4.0,h_bd,-0.3682439684423462
325,2.0,1.0,5.0,1.0,4.0,h_bd,-1.2202654936043278
326,2.0,1.0,6.0,1.0,4.0,h_bd,0.6899042416767458
327,2.0,1.0,7.0,1.0,4.0,h_bd,0.6920697523164248
328,2.0,1.0,8.0,1.0,4.0,h_bd,-0.8722090871293303
329,2.0,1.0,9.0,1.0,4.0,h_bd,0.3513099326182462
330,3.0,2.0,0.0,2.0,3.0,h_bd,0.6937407981149852
331,3.0,2.0,1.0,2.0,3.0,h_bd,-0.9434730586283167
332,3.0,2.0,2.0,2.0,3.0,h_bd,-1.1032430378393001
333,3.0,2.0,3.0,2.0,3.0,h_bd,-1.0932642904377594
334,3.0,2.0,4.0,2.0,3.0,h_bd,-1.1497644330249321
335,3.0,2.0,5.0,2.0,3.0,h_bd,0.6719733130434672
336,3.0,2.0,6.0,2.0,3.0,h_bd,-1.7266689047277002
337,3.0,2.0,7.0,2.0,3.0,h_bd,2.2291477132267565
338,3.0,2.0,8.0,2.0,3.0,h_bd,1.423974673072861
339,3.0,2.0,9.0,2.0,3.0,h_bd,-1.3378061936844146
340,4.0,2.0,0.0,2.0,4.0,h_bd,1.2215174138229365
341,4.0,2.0,1.0,2.0,4.0,h_bd,-0.7231098106093586
342,4.0,2.0,2.0,2.0,4.0,h_bd,-1.1516211013703124
343,4.0,2.0,3.0,2.0,4.0,h_bd,-0.6938613279359112
344,4.0,2.0,4.0,2.0,4.0,h_bd,0.513061595455077
345,4.0,2.0,5.0,2.0,4.0,h_bd,0.5082908172245137
346,4.0,2.0,6.0,2.0,4.0,h_bd,0.8755982763333187
347,4.0,2.0,7.0,2.0,4.0,h_bd,-0.9992387223522703
348,4.0,2.0,8.0,2.0,4.0,h_bd,0.5532736593347469
349,4.0,2.0,9.0,2.0,4.0,h_bd,1.1678647951979833
350,5.0,1.0,0.0,1.0,2.0,h_bd,0.8720966750688379
351,5.0,1.0,1.0,1.0,2.0,h_bd,-0.7219872496137025
352,5.0,1.0,2.0,1.0,2.0,h_bd,-1.4349611674722864
353,5.0,1.0,3.0,1.0,2.0,h_bd,-1.2554704600643285
354,5.0,1.0,4.0,1.0,2.0,h_bd,0.4295250380269356
355,5.0,1.0,5.0,1.0,2.0,h_bd,0.32028577115983864
356,5.0,1.0,6.0,1.0,2.0,h_bd,0.3698511841464518
357,5.0,1.0,7.0,1.0,2.0,h_bd,0.005406387011429623
358,5.0,1.0,8.0,1.0,2.0,h_bd,0.831952007158535
359,5.0,1.0,9.0,1.0,2.0,h_bd,-1.0142472182826112
360,2.0,1.0,0.0,1.0,4.0,h_cd,1.341352666446675
361,2.0,1.0,1.0,1.0,4.0,h_cd,0.9555971202337621
362,2.0,1.0,2.0,1.0,4.0,h_cd,-0.48811070900365683
363,2.0,1.0,3.0,1.0,4.0,h_cd,0.057736928694508215
364,2.0,1.0,4.0,1.0,4.0,h_cd,-1.084793245776123
365,2.0,1.0,5.0,1.0,4.0,h_cd,0.99309083649224
366,2.0,1.0,6.0,1.0,4.0,h_cd,-0.6751714061811234
367,2.0,1.0,7.0,1.0,4.0,h_cd,-0.8576892261913281
368,2.0,1.0,8.0,1.0,4.0,h_cd,0.6549131536268235
369,2.0,1.0,9.0,1.0,4.0,h_cd,0.6152833926442132
370,3.0,2.0,0.0,2.0,3.0,h_cd,0.7375646243527155
