,user,userID,pos,qn,q1,q2,p1,p2,p12,p123,fal,irr,ent,a00,a01,a10,a11,qorder
114,12.0,94467583.0,6.0,6.0,1.0,3.0,0.58,0.28,0.26,,2.0,0.31999999999999995,0.0,,-0.3287014840721124,0.13484460927799635,0.9421883521489045,0213
115,12.0,94467583.0,7.0,7.0,1.0,3.0,,,,,2.0,,0.0,,,,,
117,13.0,64030535.0,0.0,0.0,1.0,2.0,0.34,0.51,0.51,,1.0,0.16999999999999998,0.0,0.6247338495450631,0.29580765098192285,0.11047828226924716,0.714142842854285,0123
118,13.0,64030535.0,1.0,1.0,3.0,4.0,0.4,0.2,0.29,,1.0,0.08999999999999997,0.0,0.7579597752786355,0.09393905132022551,0.3559107102864655,0.5385164807134504,2301
119,13.0,64030535.0,2.0,3.0,2.0,3.0,0.51,0.36,0.34,,2.0,0.16999999999999998,0.0,0.4773736960710841,-0.1614223564123508,0.1614223564123508,0.8485281374238571,1203
120,13.0,64030535.0,3.0,4.0,2.0,4.0,0.38,0.51,0.38,,2.0,0.13,0.0,0.5611954970079128,0.13817070512807317,0.05775733136692329,0.8140224573412114,1302
121,13.0,64030535.0,4.0,5.0,1.0,2.0,0.36,0.4,0.35,,1.0,-0.010000000000000009,0.0,0.7016356292740035,0.30281921268995426,0.25692015911389543,0.5916079783099616,0123
122,13.0,64030535.0,5.0,2.0,1.0,4.0,0.33,0.34,0.34,,1.0,0.010000000000000009,0.0,0.7410011909571168,0.24152593563900204,0.22930865097906594,0.5830951894845301,0312
123,13.0,64030535.0,6.0,6.0,1.0,3.0,0.37,0.16,0.33,,2.0,0.03999999999999998,0.0,0.7370486271866322,-0.29454710175502463,0.42930201215738195,0.4309305145468806,0213
124,13.0,64030535.0,7.0,7.0,1.0,3.0,,,,,2.0,,0.0,,,,,
126,14.0,98886326.0,0.0,0.0,1.0,2.0,0.37,0.98,0.71,,1.0,0.33999999999999997,0.0,,0.5573850226823641,0.017617549386626852,0.8426149773176358,0123
127,14.0,98886326.0,1.0,1.0,3.0,4.0,0.79,0.36,0.46,,1.0,0.10000000000000003,0.0,0.4195841804344175,0.1702951391113302,0.5787475106851268,0.6782329983125268,2301
128,14.0,98886326.0,2.0,2.0,1.0,4.0,0.62,0.04,0.89,,1.0,0.85,0.0,,-0.6605554007310414,0.17015475936034408,0.9433981132056604,0312
129,14.0,98886326.0,3.0,4.0,2.0,4.0,0.66,0.94,0.91,,2.0,0.029999999999999916,0.0,0.3443115028313648,0.2222183907726032,0.28114024410562166,0.8677722852019838,1302
130,14.0,98886326.0,4.0,3.0,2.0,3.0,0.95,0.82,1.0,,2.0,-0.050000000000000044,0.0,,-0.09778002772245231,0.4514259600823074,0.9269789151267145,1203
131,14.0,98886326.0,5.0,5.0,1.0,2.0,0.69,0.81,0.89,,1.0,0.20000000000000007,0.0,,0.3293940929301251,0.23133589924141273,0.9433981132056604,0123
132,14.0,98886326.0,6.0,6.0,1.0,3.0,0.94,0.11,0.59,,2.0,0.35,0.0,,-0.9020893440978659,0.8613718935826642,0.5097590264975447,0213
133,14.0,98886326.0,7.0,7.0,1.0,3.0,,,,,2.0,,0.0,,,,,
135,15.0,28464829.0,0.0,0.0,1.0,2.0,0.5,1.0,0.48,,1.0,-0.020000000000000018,0.0,,0.7213932393455442,0.3071796769724491,0.6928203230275509,0123
