,user,userID,pos,qn,q1,q2,p1,p2,p12,p123,fal,irr,ent,a00,a01,a10,a11,qorder,check_pA,check_pA_B,check_pB
64,7.0,98095784.0,1.0,1.0,3.0,4.0,0.49,0.62,0.7,,1.0,0.21,0.0,0.6651564134032439,-0.05271043845338095,-0.13262064369198934,0.73293957160492,2301.0,0.4900014961306774,0.6999967172702205,0.6200026013857728
65,7.0,98095784.0,2.0,2.0,1.0,4.0,0.51,0.51,0.51,,1.0,0.0,0.0,0.7000012426407064,-5.452849531250307e-06,-5.36005481846581e-06,0.7141416911829486,312.0,0.5099984487806919,0.5100060272041633,0.509998317580953
66,7.0,98095784.0,3.0,3.0,2.0,3.0,0.51,0.54,0.51,,2.0,0.030000000000000027,0.0,0.68930586956505,1.71719819973482e-06,-0.02094168862280382,0.724167910169848,1203.0,0.509994187800582,0.5099966533543583,0.5400104952897152
67,7.0,98095784.0,4.0,4.0,2.0,4.0,0.75,0.72,0.73,,2.0,0.020000000000000014,0.0,0.5157548633022747,-0.01658046405493245,0.008069638305317345,0.8565377477190126,1302.0,0.7500051893598417,0.7299879821877684,0.719985293332923
68,7.0,98095784.0,5.0,5.0,1.0,2.0,0.57,0.43,0.62,,1.0,0.19,0.0,0.7016010921713102,-0.12029068641310335,-0.032128869834322366,0.7016085371333458,123.0,0.5701423204640432,0.6200812517955919,0.4298694079821714
69,7.0,98095784.0,6.0,6.0,1.0,3.0,,,,,2.0,,0.0,,,,,,,,
70,7.0,98095784.0,7.0,7.0,1.0,3.0,0.51,0.51,0.52,,2.0,-0.010000000000000007,0.0,0.6998942411477387,0.007159393813194096,0.007159395300994013,0.7141750763298517,213.0,0.5099968693884427,0.5200142827966772,0.50999686730588
72,8.0,24294903.0,0.0,0.0,1.0,2.0,0.65,0.96,0.91,,1.0,0.26,0.0,-0.0780093078613601,0.5334383535961887,-0.19798579698101654,0.8186329801980882,123.0,0.6500014746552453,0.9100031260037995,0.9599986922473709
73,8.0,24294903.0,1.0,1.0,3.0,4.0,0.53,0.3,0.3,,1.0,0.0,0.0,0.7611505519044425,4.134539023947535e-06,0.18733954337884762,0.6209297436713309,2301.0,0.5299932835538365,0.2999962895913395,0.30000091700001347
74,8.0,24294903.0,2.0,3.0,2.0,3.0,0.49,0.52,0.55,,2.0,-0.030000000000000027,0.0,0.7025215590688557,0.044469415690052146,0.022275466645068995,0.709922344286982,1203.0,0.4900001375441029,0.5500002679583247,0.5199994027970907
75,8.0,24294903.0,3.0,4.0,2.0,4.0,0.45,0.49,0.56,,2.0,-0.07000000000000006,0.0,0.7263344959120352,0.08528697746398098,0.05430496066660796,0.679864804659231,1302.0,0.45002057814286367,0.5600246086152151,0.4899817520718823
76,8.0,24294903.0,4.0,2.0,1.0,4.0,0.49,0.47,0.5,,1.0,0.030000000000000027,0.0,0.7206711964154419,-0.02078516614421481,-0.0069438941249635325,0.6929308127852616,312.0,0.48997187026463856,0.49999182943789333,0.47002304142161105
77,8.0,24294903.0,5.0,5.0,1.0,2.0,0.45,0.55,0.6,,1.0,0.14999999999999994,0.0,0.7033815394694709,-0.03248305545791723,-0.09652933583300416,0.7034786819573194,123.0,0.45008061247197295,0.6000157027638984,0.5500702872781305
78,8.0,24294903.0,6.0,6.0,1.0,3.0,,,,,2.0,,0.0,,,,,,,,
79,8.0,24294903.0,7.0,7.0,1.0,3.0,0.63,0.55,0.51,,2.0,0.12,0.0,0.6429150191710089,-0.07940391587036408,-0.02604648508854833,0.7613651492644852,213.0,0.6300039709081547,0.5100077988111062,0.54999086107727
81,9.0,85923222.0,0.0,0.0,1.0,2.0,0.85,1.0,0.86,,1.0,0.010000000000000007,0.0,-0.03413428040132633,0.4121914919642213,-0.010571776441106318,0.910396342092854,123.0,0.8499627029593954,0.8598919365839482,0.9988587316974379
82,9.0,85923222.0,1.0,1.0,3.0,4.0,0.62,0.26,0.23,,1.0,-0.03,0.0,0.7156542751969313,0.03193039867268338,0.353289203613757,0.6016694735784743,2301.0,0.6200218549551417,0.23000151343318506,0.2599907186529224
83,9.0,85923222.0,2.0,5.0,1.0,2.0,0.93,0.96,0.91,,1.0,-0.020000000000000014,0.0,-0.11835122038099462,-0.136179150055874,-0.05431999590569278,0.9820884039447807,123.0,0.9300022532959565,0.9100011393542371,0.9599996829205714
84,9.0,85923222.0,3.0,4.0,2.0,4.0,0.95,0.55,0.96,,2.0,-0.010000000000000007,0.0,0.27487766999885127,0.027682603104760034,0.4952100021622794,0.8236767737365787,1302.0,0.9500041143876438,0.9599971090603047,0.5499973383065031
85,9.0,85923222.0,4.0,3.0,2.0,3.0,0.97,0.29,0.3,,2.0,0.6699999999999999,0.0,0.2346010021110438,-0.3174053974027749,0.8410114742976044,-0.3700214727563193,1203.0,0.9700178260365723,0.30000600797767146,0.29000080421223745
86,9.0,85923222.0,5.0,2.0,1.0,4.0,0.21,0.86,0.84,,1.0,0.63,0.0,0.3149804709566237,-0.04075899179598329,-0.5960677626027866,0.7374478829911055,312.0,0.20999295320485245,0.8400019701159429,0.8600069123050458
87,9.0,85923222.0,6.0,6.0,1.0,3.0,,,,,2.0,,0.0,,,,,,,,
88,9.0,85923222.0,7.0,7.0,1.0,3.0,0.81,0.22,0.09,,2.0,0.7200000000000001,0.0,0.7420557003094984,-0.5760751078684081,0.34276932043300795,-6.283203721990428e-05,213.0,0.8099995092424391,0.09000203403846466,0.22000216763482178
